Data,ALPA4,BBDC3,BBDC4,BBAS3,BRKM5,CMIG4,ELET6,FESA4,FJTA4,GGBR4,GOAU4,INEP4,ITSA4,ITUB3,ITUB4,KLBN4,LIGT3,LAME4,MGEL4,PETR3,PETR4,RAPT4,SUZB5+SUZB3,VIVT3,VIVT4,UNIP6,VALE3
198912,4.4147799999999995e-07,1.12293e-07,1.21172e-07,1.28273e-06,4.36026e-06,1.7420500000000002e-07,5.34239e-07,8.353360000000001e-07,7.876139999999998e-06,3.29538e-07,2.54438e-07,0.001190726,5.57831e-08,5.24746e-08,5.86756e-08,1.7859100000000001e-07,8.15959e-06,8.480410000000001e-08,8.411569999999999e-06,2.34365e-07,2.93189e-07,5.01648e-07,2.95084e-06,1.22154e-07,1.9133800000000002e-07,9.62118e-07,3.399e-07
198912,4.4147799999999995e-07,1.12293e-07,1.21172e-07,1.2939799999999999e-06,4.39304e-06,1.81173e-07,5.35769e-07,8.12132e-07,7.876139999999998e-06,3.47513e-07,2.54438e-07,0.001190726,5.8075599999999995e-08,5.1735499999999994e-08,5.78374e-08,1.9105e-07,8.15959e-06,8.480410000000001e-08,8.411569999999999e-06,2.34365e-07,3.0485e-07,5.01648e-07,3.12108e-06,1.22154e-07,1.9965699999999997e-07,9.01331e-07,3.6088099999999996e-07
198912,4.52446e-07,1.12293e-07,1.16845e-07,1.18146e-06,4.13077e-06,1.76295e-07,5.388309999999999e-07,8.353360000000001e-07,8.21369e-06,3.5949599999999995e-07,2.49355e-07,0.001190726,5.73114e-08,5.1736300000000004e-08,5.61618e-08,1.9520399999999998e-07,8.15959e-06,8.480410000000001e-08,8.49168e-06,2.53896e-07,2.94855e-07,5.01648e-07,3.12108e-06,1.22736e-07,1.9965699999999997e-07,8.38866e-07,3.6088099999999996e-07
198912,4.38736e-07,1.1517200000000001e-07,1.21172e-07,1.17021e-06,4.16356e-06,1.7420500000000002e-07,5.35769e-07,8.353360000000001e-07,7.87727e-06,3.7148000000000004e-07,2.59527e-07,0.001071653,5.8075599999999995e-08,5.1735499999999994e-08,5.5322699999999995e-08,2.0600200000000002e-07,7.88142e-06,7.67275e-08,8.73201e-06,2.53896e-07,3.08182e-07,5.01648e-07,3.18918e-06,1.22736e-07,1.9632999999999999e-07,8.81208e-07,3.6088099999999996e-07
198912,4.6615699999999996e-07,1.1517200000000001e-07,1.2405699999999998e-07,1.19271e-06,4.36026e-06,1.77689e-07,5.51077e-07,8.411369999999999e-07,7.988660000000001e-06,3.89454e-07,2.79882e-07,0.001071653,6.0368e-08,5.1735499999999994e-08,5.5322699999999995e-08,2.0600200000000002e-07,7.78869e-06,9.28807e-08,8.64389e-06,2.7342600000000003e-07,3.2983800000000004e-07,5.01648e-07,3.21188e-06,1.22154e-07,1.9965699999999997e-07,9.139069999999999e-07,3.69274e-07
198912,4.38736e-07,1.1517200000000001e-07,1.2405699999999998e-07,1.15895e-06,4.19634e-06,1.7072099999999998e-07,5.35769e-07,8.353360000000001e-07,7.988660000000001e-06,3.95446e-07,2.79882e-07,0.001190726,5.8075599999999995e-08,5.1735499999999994e-08,5.69991e-08,1.99357e-07,7.78869e-06,9.08615e-08,8.411569999999999e-06,2.7342600000000003e-07,3.09848e-07,4.81582e-07,3.1778300000000003e-06,1.24492e-07,1.9982399999999998e-07,8.598279999999999e-07,3.7095199999999997e-07
198912,4.38736e-07,1.12293e-07,1.1828699999999999e-07,1.16458e-06,4.327469999999999e-06,1.7246300000000003e-07,5.35769e-07,8.353360000000001e-07,7.876139999999998e-06,3.95446e-07,2.7733799999999997e-07,0.001190726,5.6547300000000006e-08,5.1735499999999994e-08,5.55077e-08,2.11817e-07,8.15959e-06,9.26788e-08,8.411569999999999e-06,2.7342600000000003e-07,3.3317e-07,4.81582e-07,3.18248e-06,1.2448100000000001e-07,1.747e-07,9.22292e-07,4.19629e-07
198912,4.6615699999999996e-07,1.1517200000000001e-07,1.21172e-07,1.35024e-06,4.98315e-06,1.98594e-07,5.51077e-07,8.70141e-07,7.988660000000001e-06,4.4337899999999996e-07,3.00237e-07,0.001190726,5.88397e-08,5.1735499999999994e-08,5.67597e-08,2.2843000000000004e-07,8.901369999999999e-06,1.04996e-07,9.61323e-06,3.32018e-07,3.98138e-07,5.618460000000001e-07,3.7452999999999995e-06,1.24597e-07,2.16296e-07,9.85175e-07,4.36414e-07
198912,5.209989999999999e-07,1.15463e-07,1.22615e-07,1.44025e-06,5.376559999999999e-06,2.33435e-07,5.81692e-07,8.70141e-07,9.0013e-06,4.79329e-07,3.3077e-07,0.0014884070000000002,6.0368e-08,5.1735499999999994e-08,5.67597e-08,2.5335000000000003e-07,9.272260000000002e-06,1.04996e-07,9.62124e-06,3.6131300000000003e-07,4.4145e-07,5.618460000000001e-07,4.199269999999999e-06,1.3146100000000001e-07,2.6621e-07,1.0899799999999998e-06,5.03555e-07
198912,5.4842e-07,1.169e-07,1.2405699999999998e-07,1.80032e-06,5.376559999999999e-06,2.47371e-07,5.970000000000001e-07,9.28151e-07,8.55124e-06,5.39245e-07,3.6130200000000004e-07,0.001190726,6.97143e-08,5.1735499999999994e-08,5.42556e-08,2.78269e-07,1.1126700000000001e-05,1.04996e-07,1.11353e-05,3.51548e-07,4.58108e-07,5.618460000000001e-07,4.48301e-06,1.3262399999999998e-07,2.6621e-07,1.29959e-06,5.03555e-07
